date,home_team,score,away_team
21-10-2023,Newcastle,4 - 0,Crystal Palace
27-10-2023,Crystal Palace,01-Feb,Tottenham
04-11-2023,Burnley,0 - 2,Crystal Palace
11-11-2023,Crystal Palace,02-Mar,Everton
25-11-2023,Luton,02-Jan,Crystal Palace
03-12-2023,West Ham,01-Jan,Crystal Palace
06-12-2023,Crystal Palace,0 - 2,Bournemouth
09-12-2023,Crystal Palace,01-Feb,Liverpool
16-12-2023,Man City,02-Feb,Crystal Palace
21-12-2023,Crystal Palace,01-Jan,Brighton
27-12-2023,Chelsea,02-Jan,Crystal Palace
30-12-2023,Crystal Palace,03-Jan,Brentford
20-01-2024,Arsenal,5 - 0,Crystal Palace
30-01-2024,Crystal Palace,03-Feb,Sheffield United
03-02-2024,Brighton,04-Jan,Crystal Palace
12-02-2024,Crystal Palace,01-Mar,Chelsea
19-02-2024,Everton,01-Jan,Crystal Palace
24-02-2024,Crystal Palace,3 - 0,Burnley
02-03-2024,Tottenham,03-Jan,Crystal Palace
09-03-2024,Crystal Palace,01-Jan,Luton
30-03-2024,Nott'm Forest,01-Jan,Crystal Palace
02-04-2024,Bournemouth,1 - 0,Crystal Palace
06-04-2024,Crystal Palace,02-Apr,Man City
14-04-2024,Liverpool,0 - 1,Crystal Palace
21-04-2024,Crystal Palace,05-Feb,West Ham
24-04-2024,Crystal Palace,2 - 0,Newcastle
27-04-2024,Fulham,01-Jan,Crystal Palace
06-05-2024,Crystal Palace,4 - 0,Man United
11-05-2024,Wolves,01-Mar,Crystal Palace
19-05-2024,Crystal Palace,5 - 0,Aston Villa
12-08-2023,Everton,0 - 1,Fulham
20-08-2023,Aston Villa,4 - 0,Everton
26-08-2023,Everton,0 - 1,Wolves
02-09-2023,Sheffield United,02-Feb,Everton
17-09-2023,Everton,0 - 1,Arsenal
23-09-2023,Brentford,01-Mar,Everton
30-09-2023,Everton,01-Feb,Luton
07-10-2023,Everton,3 - 0,Bournemouth
21-10-2023,Liverpool,2 - 0,Everton
29-10-2023,West Ham,0 - 1,Everton
04-11-2023,Everton,01-Jan,Brighton
11-11-2023,Crystal Palace,02-Mar,Everton
26-11-2023,Everton,0 - 3,Man United
02-12-2023,Nott'm Forest,0 - 1,Everton
